stockId,timeStamp,stockPrice,moving_average,stockName,stockCategory
101,3,57.0,41.67,StockA,small
101,4,71.0,47.67,StockA,small
101,5,86.0,71.33,StockA,small
101,6,83.0,80.0,StockA,small
101,7,53.0,74.0,StockA,small
101,8,56.0,64.0,StockA,small
101,9,15.0,41.33,StockA,small
101,10,78.0,49.67,StockA,small
101,11,28.0,40.33,StockA,small
101,12,24.0,43.33,StockA,small
101,13,65.0,39.0,StockA,small
101,14,89.0,59.33,StockA,small
101,15,80.0,78.0,StockA,small
101,16,82.0,83.67,StockA,small
101,17,91.0,84.33,StockA,small
101,18,24.0,65.67,StockA,small
101,19,22.0,45.67,StockA,small
101,20,8.0,18.0,StockA,small
101,21,100.0,43.33,StockA,small
101,22,30.0,46.0,StockA,small
101,23,29.0,53.0,StockA,small
101,24,1.0,20.0,StockA,small
